timestamp_s,src_ip,dst_ip,src_port,dst_port,protocol,queue_depth_bytes,tx_link_util_0_255,flow_hash,datetime_iso
9.038,10.0.101.4,224.0.0.1,0,0,OTHER,0,0,bde9398a,2026-04-11T17:01:10.057929
9.059,10.0.101.4,224.0.0.1,0,0,OTHER,0,0,bde9398a,2026-04-11T17:01:10.077780
9.82,10.0.104.9,224.0.0.1,0,0,OTHER,0,0,758eff81,2026-04-11T17:01:10.836941
9.846,10.0.104.9,224.0.0.1,0,0,OTHER,0,0,758eff81,2026-04-11T17:01:10.862216
10.146,10.0.106.14,224.0.0.1,0,0,OTHER,0,0,dc20a481,2026-04-11T17:01:11.166482
10.18,10.0.106.14,224.0.0.1,0,0,OTHER,0,0,dc20a481,2026-04-11T17:01:11.196894
10.612,10.0.103.8,224.0.0.1,0,0,OTHER,0,0,bf10ffa4,2026-04-11T17:01:11.628473
11.035,10.0.106.14,224.0.0.1,0,0,OTHER,1,0,dc20a481,2026-04-11T17:01:12.056949
11.041,10.0.106.14,224.0.0.1,0,0,OTHER,0,0,dc20a481,2026-04-11T17:01:12.061789
11.323,10.0.102.5,224.0.0.1,0,0,OTHER,0,0,ae001094,2026-04-11T17:01:12.342963
11.91,10.0.103.7,224.0.0.1,0,0,OTHER,0,0,048c1c86,2026-04-11T17:01:12.926746
12.025,10.0.105.12,224.0.0.1,0,0,OTHER,0,0,18b54e13,2026-04-11T17:01:13.047654
12.047,10.0.105.12,224.0.0.1,0,0,OTHER,0,0,18b54e13,2026-04-11T17:01:13.069252
12.508,10.0.100.1,224.0.0.1,0,0,OTHER,0,0,977782c3,2026-04-11T17:01:13.524971
12.522,10.0.100.1,224.0.0.1,0,0,OTHER,0,0,977782c3,2026-04-11T17:01:13.542040
12.724,10.0.107.15,224.0.0.1,0,0,OTHER,0,0,383717dc,2026-04-11T17:01:13.741481
12.733,10.0.107.15,224.0.0.1,0,0,OTHER,0,0,383717dc,2026-04-11T17:01:13.752783
12.845,10.0.107.16,224.0.0.1,0,0,OTHER,0,0,18879e6e,2026-04-11T17:01:13.862510
12.871,10.0.107.16,224.0.0.1,0,0,OTHER,0,0,18879e6e,2026-04-11T17:01:13.894008
12.926,10.0.106.13,224.0.0.1,0,0,OTHER,0,0,8ffedff3,2026-04-11T17:01:13.947928
12.947,10.0.106.13,224.0.0.1,0,0,OTHER,0,0,8ffedff3,2026-04-11T17:01:13.964418
13.067,10.0.100.2,224.0.0.1,0,0,OTHER,0,0,0b7abfe3,2026-04-11T17:01:14.086832
13.084,10.0.100.2,224.0.0.1,0,0,OTHER,0,0,0b7abfe3,2026-04-11T17:01:14.105406
13.205,10.0.105.11,224.0.0.1,0,0,OTHER,0,0,f92bb1e0,2026-04-11T17:01:14.226949
13.217,10.0.105.11,224.0.0.1,0,0,OTHER,0,0,f92bb1e0,2026-04-11T17:01:14.236924
13.398,10.0.101.3,224.0.0.1,0,0,OTHER,0,0,17099ba8,2026-04-11T17:01:14.418015
13.425,10.0.101.3,224.0.0.1,0,0,OTHER,0,0,17099ba8,2026-04-11T17:01:14.441604
13.661,10.0.102.6,224.0.0.1,0,0,OTHER,0,0,507baf03,2026-04-11T17:01:14.677260
14.046,10.0.104.10,224.0.0.1,0,0,OTHER,0,0,8c3d781d,2026-04-11T17:01:15.068152
14.062,10.0.104.10,224.0.0.1,0,0,OTHER,0,0,8c3d781d,2026-04-11T17:01:15.080973
14.104,10.0.101.4,224.0.0.1,0,0,OTHER,0,0,bde9398a,2026-04-11T17:01:15.120522
14.106,10.0.101.4,224.0.0.1,0,0,OTHER,0,0,bde9398a,2026-04-11T17:01:15.123582
14.864,10.0.104.9,224.0.0.1,0,0,OTHER,0,0,758eff81,2026-04-11T17:01:15.882579
14.871,10.0.104.9,224.0.0.1,0,0,OTHER,0,0,758eff81,2026-04-11T17:01:15.888667
15.19,10.0.106.14,224.0.0.1,0,0,OTHER,0,0,dc20a481,2026-04-11T17:01:16.211065
15.203,10.0.106.14,224.0.0.1,0,0,OTHER,0,0,dc20a481,2026-04-11T17:01:16.221239
15.648,10.0.103.8,224.0.0.1,0,0,OTHER,0,0,bf10ffa4,2026-04-11T17:01:16.668282
16.004,10.0.106.14,224.0.0.1,0,0,OTHER,0,0,dc20a481,2026-04-11T17:01:17.021975
16.009,10.0.106.14,224.0.0.1,0,0,OTHER,0,0,dc20a481,2026-04-11T17:01:17.026550
16.313,10.0.102.5,224.0.0.1,0,0,OTHER,0,0,ae001094,2026-04-11T17:01:17.333961
16.927,10.0.103.7,224.0.0.1,0,0,OTHER,0,0,048c1c86,2026-04-11T17:01:17.943916
17.01,10.0.105.12,224.0.0.1,0,0,OTHER,0,0,18b54e13,2026-04-11T17:01:18.026605
17.037,10.0.105.12,224.0.0.1,0,0,OTHER,0,0,18b54e13,2026-04-11T17:01:18.054965
17.513,10.0.100.1,224.0.0.1,0,0,OTHER,0,0,977782c3,2026-04-11T17:01:18.529759
17.526,10.0.100.1,224.0.0.1,0,0,OTHER,0,0,977782c3,2026-04-11T17:01:18.542396
